コード,銘柄名,対象外,IRニュースURL,備考,出来高13万以上かつ株価100円以上
1844,大盛工業,,https://www.ohmori.co.jp/topics/contents_type=7&date=2023&using_season=0,2023年用,0
1847,イチケン,,https://www.ichiken.co.jp/ir_information,,0
1848,富士ピー・エス,,http://www.fujips.co.jp/ir/news/,,0
1850,南海辰村建設,,https://www.nantatsu.co.jp/ir/list.html,,0
1852,浅沼組,,https://www.asanuma.co.jp/ir/,,0
1853,森組,,https://www.morigumi.co.jp/ir/,,0
1860,戸田建設,,https://www.toda.co.jp/ir/news/,,1
1861,熊谷組,,https://www.kumagaigumi.co.jp/news/index.html,,1
1866,北野建設,,http://www.kitano.co.jp/ir/library.php,,0
1867,植木組,,https://www.uekigumi.co.jp/ir/,,0
1869,名工建設,,https://www.meikokensetsu.co.jp/ir/,,0
1870,矢作建設工業,,https://www.yahagi.co.jp/ir_news/,,0
1871,ピーエス三菱,,https://www.psmic.co.jp/about/ir/news/,,0
1873,（株）日本ハウスホールディングス,,https://www.nihonhouse-hd.co.jp/company/ir/,,0
1878,大東建託,,https://www.kentaku.co.jp/corporate/ir/,,1
1879,新日本建設,,https://www.shinnihon-c.co.jp/ir/news/,,0
1882,東亜道路工業,,https://www.toadoro.co.jp/ir/irnews/,,0
1884,日本道路,,https://www.nipponroad.co.jp/ir/,,0
1885,東亜建設工業,,https://www.toa-const.co.jp/ir/news/,,0
1887,日本国土開発,,https://ssl.n-kokudo.co.jp/ir/irnews.html,,0
1888,若築建設,,https://www.wakachiku.co.jp/ir/release.html,,0
1890,東洋建設,,https://www.toyo-const.co.jp/ir/irnews,,0
1892,徳倉建設,,https://www.tokura.co.jp/news/?n_info=ir,,0
1893,五洋建設,,https://www.penta-ocean.co.jp/ir/data/other/2023/index.html,2023年用,1
1897,金下建設,,https://www.kaneshita.co.jp/ir/,,0
1898,世紀東急工業,,https://www.seikitokyu.co.jp/ir/,,0
1899,福田組,,https://www.fkd.co.jp/financial/financial-news/,,0
1904,大成温調,,https://www.taisei-oncho.co.jp/ir/news_topics/,,0
1905,テノックス,,https://www.tenox.co.jp/ir/news/,,0
1909,日本ドライケミカル,,https://www.ndc-group.co.jp/ir/news.html,,0
1911,住友林業,,https://sfc.jp/information/ir/news/,,1
1914,日本基礎技術,,https://www.jafec.co.jp/investors,,0
1921,巴コーポレーション,,https://www.tomoe-corporation.co.jp/news/ir.html,,0
1925,大和ハウス工業,,https://www.daiwahouse.co.jp/ir/kessan/s_index.html,,1
1926,ライト工業,,https://www.raito.co.jp/ir/irnews/index.html,,0
1928,積水ハウス,,https://www.sekisuihouse.co.jp/company/financial/,,1
1929,日特建設,,https://www.nittoc.co.jp/news/index.html?ir,,0
1930,北陸電気工事,,https://www.rikudenko.co.jp/ir/news/,,0
1934,ユアテック,,http://www.yurtec.co.jp/ir/ir_news.html,,0
1938,日本リーテック,,https://www.j-rietec.co.jp/ir/irnews/,,0
1939,四電工,,https://www.yondenko.co.jp/category/ir/,,0
1941,中電工,,https://www.chudenko.co.jp/info/news/,,0
1942,関電工,,https://www.kandenko.co.jp/ir/settled-account,URL情報解析難しい,1
1944,きんでん,,https://www.kinden.co.jp/ir/news/,,1
1945,東京エネシス,,https://www.qtes.co.jp/ir/news_release/,,0
1946,トーエネック,,https://www.toenec.co.jp/ir/news/,,0
1948,弘電社,,https://www.kk-kodensha.co.jp/investor/index.html,,0
1949,住友電設,,https://www.sem.co.jp/ir/library/,URL情報解析難しい,0
1950,日本電設工業,,https://www.densetsuko.co.jp/01investor/infomation/,URL情報解析難しい,0
1951,エクシオグループ,,https://www.exeo.co.jp/news/,,1
1952,新日本空調,,https://www.snk.co.jp/ir/news.html,,0
1954,日本工営,,https://www.n-koei.co.jp/news/,,0
1959,九電工,,https://www.kyudenko.co.jp/ir/news/,,0
1960,サンテック,,https://www.suntec-sec.co.jp/ir/,,0
1961,三機工業,,https://www.sanki.co.jp/ir/news/2023.html,2023年用,0
1963,日揮ホールディングス,,https://www.jgc.com/jp/news/,,1
1964,中外炉工業,,https://chugai.co.jp/news/,,0
1965,テクノ菱和,,https://www.techno-ryowa.co.jp/ir/,,0
1966,高田工業所,,https://www.takada.co.jp/ir/,,0
1967,ヤマト,,https://www.yamato-hd.co.jp/investors/information/2023.html,,0
1968,太平電業,,https://www.taihei-dengyo.co.jp/ir/news/,,0
1969,高砂熱学工業,,https://www.tte-net.com/topics/index.html#ir,,0
1971,中央ビルト工業,,http://www.chuo-build.co.jp/ir/library.html,URL情報解析難しい,0
1972,三晃金属工業,,https://www.sankometal.co.jp/ir/financial-results.html,URL情報解析難しい,0
1973,ＮＥＣネッツエスアイ,,https://www.nesic.co.jp/ir/library/tekiji.html,,1
1975,朝日工業社,,https://www.asahikogyosha.co.jp/ir/library/news/,,0
1976,明星工業,,https://www.meisei-kogyo.co.jp/ir/news/,,0
1979,大氣社,,https://www.taikisha.co.jp/ir/calendar/,,0
1980,ダイダン,,https://www.daidan.co.jp/news/category/ir/,,0
1981,協和日成,,https://www.kyowa-nissei.co.jp/ir/release.html,,0
1982,日比谷総合設備,,https://www.hibiya-eng.co.jp/ja/ir/news.html,,0
1992,神田通信機,,https://www.kandt.co.jp/ir/topics/,,0
1994,高橋カーテンウォール工業,,https://t-cw.co.jp/ir/,,0
1997,暁飯島工業,,http://www.eazima.co.jp/ir/p_release/index.html,,0
1999,サイタホールディングス,,https://www.saita-hd.co.jp/ir/pressrelease/,,0
2001,（株）ニップン,,https://www.nippn.co.jp/ir/ir_news/,,0
2002,日清製粉グループ本社,,https://www.nisshin.com/ir/release/,,1
2003,日東富士製粉,,https://www.nittofuji.co.jp/ir/,,0
2004,昭和産業,,https://www.showa-sangyo.co.jp/ir/news/,,0
2009,鳥越製粉,,https://www.the-torigoe.co.jp/tousi/index.html,,0
2031,ＮＥＸＴＮＯＴＥＳ香港ハンセンダブルブル,1,,,
2032,ＮＥＸＴＮＯＴＥＳ香港ハンセン・ベア,1,,,
2033,ＮＥＸＴＮＯＴＥＳ韓国ＫＯＳＰＩ・Ｗブル,1,,,
2034,ＮＥＸＴＮＯＴＥＳ韓国ＫＯＳＰＩ・ベア,1,,,
2036,ＮＥＸＴＮＯＴＥＳ金先物ダブルブル,1,,,
